Proventos;Código ISIN;Deliberado em;Negócios com até;% / Fator de Grupamento;Ativo Emitido;Observações;cvmCode
BONIFICACAO;BRCLSCACNOR6;22/03/1993;22/03/1993;50.0;BRCLSCACNPB7;;2461
BONIFICACAO;BRCLSCACNPR3;22/03/1993;22/03/1993;50.0;BRCLSCACNPB7;;2461
CIS RED CAP;BRPCARACNOR3;31/12/2020;26/02/2021;100.0;BRASAIACNOR0;;14826
CIS RED CAP;BRPCARACNOR3;31/12/2020;26/02/2021;100.0;BRPCARACNOR3;;14826
REST CAP C/ RED;BRPCARA01PB5;18/09/2009;18/09/2009;70.7310652;BRPCARA01PB5;;14826
GRUPAMENTO;BRPCARACNOR3;30/07/2007;31/08/2007;0.002;BRPCARACNOR3;;14826
GRUPAMENTO;BRPCARACNPR0;30/07/2007;31/08/2007;0.002;BRPCARACNPR0;;14826
RESG TOTAL RV;BRCASNR05OR2;22/05/2020;22/05/2020;100.0;;;16861
RESG TOTAL RV;BRCASNR05PR9;22/05/2020;22/05/2020;100.0;;;16861
REST CAP ACOES;BRGPARACNOR4;22/07/2010;30/09/2010;0.347834;BRCGTLACNOR5;;21393
GRUPAMENTO;BRCEEBACNOR3;06/11/2007;07/12/2007;0.01;BRCEEBACNOR3;;14524
GRUPAMENTO;BRCEEBACNPA6;06/11/2007;07/12/2007;0.01;BRCEEBACNPA6;;14524
GRUPAMENTO;BRCEEBACNPB4;06/11/2007;07/12/2007;0.01;BRCEEBACNPB4;;14524
BONIFICACAO;BRCEEBACNOR3;29/11/2005;28/07/2006;100.0;BRAFLUACNOR9;;14524
BONIFICACAO;BRCEEBACNPA6;29/11/2005;28/07/2006;100.0;BRAFLUACNPA2;;14524
BONIFICACAO;BRCEEBACNPB4;29/11/2005;28/07/2006;100.0;BRAFLUACNPB0;;14524
BONIFICACAO;BRCMIGACNOR6;29/04/2022;29/04/2022;29.999999976;BRCMIGACNOR6;;2453
BONIFICACAO;BRCMIGACNPR3;29/04/2022;29/04/2022;29.999999976;BRCMIGACNPR3;;2453
GRUPAMENTO;BRCMIGACNOR6;26/04/2007;01/06/2007;0.002;BRCMIGACNOR6;;2453
GRUPAMENTO;BRCMIGACNPR3;26/04/2007;01/06/2007;0.002;BRCMIGACNPR3;;2453
GRUPAMENTO;BRCEPEACNOR3;07/11/2007;10/12/2007;0.001;BRCEPEACNOR3;;14362
GRUPAMENTO;BRCEPEACNPA6;07/11/2007;10/12/2007;0.001;BRCEPEACNPA6;;14362
GRUPAMENTO;BRCEPEACNPB4;07/11/2007;10/12/2007;0.001;BRCEPEACNPB4;;14362
GRUPAMENTO;BRCOCEACNOR0;30/04/2007;01/06/2007;0.0005;BRCOCEACNOR0;;14869
GRUPAMENTO;BRCOCEACNPA3;30/04/2007;01/06/2007;0.0005;BRCOCEACNPA3;;14869
GRUPAMENTO;BRCOCEACNPB1;30/04/2007;01/06/2007;0.0005;BRCOCEACNPB1;;14869
DESDOBRAMENTO;BRCOCEACNOR0;29/04/2003;29/04/2003;3.23;BRCOCEACNOR0;;14869
DESDOBRAMENTO;BRCOCEACNPA3;29/04/2003;29/04/2003;3.23;BRCOCEACNPA3;;14869
DESDOBRAMENTO;BRCOCEACNPB1;29/04/2003;29/04/2003;3.23;BRCOCEACNPB1;;14869
GRUPAMENTO;BRCEEDACNOR9;29/04/2016;13/06/2016;0.025;BRCEEDACNOR9;;20648
GRUPAMENTO;BRCEEDACNPR6;29/04/2016;13/06/2016;0.025;BRCEEDACNPR6;;20648
CIS RED CAP;BREEELACNOR8;18/02/2021;29/09/2021;100.0;BREEELACNOR8;;3204
CIS RED CAP;BREEELACNOR8;18/02/2021;29/09/2021;100.0;BRCGEEACNOR2;;3204
CIS RED CAP;BREEELACNPR5;18/02/2021;29/09/2021;100.0;BREEELACNPR5;;3204
CIS RED CAP;BREEELACNPR5;18/02/2021;29/09/2021;100.0;BRCGEEACNPR9;;3204
GRUPAMENTO;BREEELACNOR8;29/04/2016;13/06/2016;0.025;BREEELACNOR8;;3204
GRUPAMENTO;BREEELACNPR5;29/04/2016;13/06/2016;0.025;BREEELACNPR5;;3204
DESDOBRAMENTO;BRFESAACNOR8;18/07/2008;18/07/2008;700.0;BRFESAACNOR8;;3069
DESDOBRAMENTO;BRFESAACNPR5;18/07/2008;18/07/2008;700.0;BRFESAACNPR5;;3069
GRUPAMENTO;BRFESAACNOR8;04/04/2005;05/05/2005;0.01;BRFESAACNOR8;;3069
GRUPAMENTO;BRFESAACNPR5;04/04/2005;05/05/2005;0.01;BRFESAACNPR5;;3069
BONIFICACAO;BRFESAACPPR0;12/12/1989;26/12/1989;900.0;BRFESAACPPR0;;3069
BONIFICACAO;BRFESAACNOR8;12/12/1989;15/12/1989;900.0;BRFESAACNOR8;;3069
BONIFICACAO;BRFESAACNPR5;12/12/1989;15/12/1989;900.0;BRFESAACNPR5;;3069
BONIFICACAO;BRCEDOACNOR8;29/04/2011;29/04/2011;180.18589;BRCEDOACNOR8;;3077
BONIFICACAO;BRCEDOACNPR5;29/04/2011;29/04/2011;180.18589;BRCEDOACNPR5;;3077
GRUPAMENTO;BRCEDOACNOR8;19/10/2007;23/11/2007;0.002;BRCEDOACNOR8;;3077
GRUPAMENTO;BRCEDOACNPR5;19/10/2007;23/11/2007;0.002;BRCEDOACNPR5;;3077
GRUPAMENTO;BRCGASACNOR0;29/08/2007;01/10/2007;0.01;BRCGASACNOR0;;15636
GRUPAMENTO;BRCGASACNPA3;29/08/2007;01/10/2007;0.01;BRCGASACNPA3;;15636
GRUPAMENTO;BRHBTSACNOR0;26/04/2005;24/06/2005;0.01;BRHBTSACNOR0;;3298
GRUPAMENTO;BRHBTSACNPA3;26/04/2005;24/06/2005;0.01;BRHBTSACNPA3;;3298
GRUPAMENTO;BRHBTSACNPB1;26/04/2005;24/06/2005;0.01;BRHBTSACNPB1;;3298
BONIFICACAO;BRHBTSACNOR0;29/04/1988;26/05/1988;400.0;BRHBTSACNOR0;;3298
BONIFICACAO;BRHBTSACNPR7;29/04/1988;26/05/1988;400.0;BRHBTSACNPR7;;3298
